問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
supposedly,〜とされている、たぶん,suppose から,He is supposedly the best player.,10,,,,,,
surely,確かに、きっと,sure（確かな）から,Surely you remember me.,10,,,,,,
surface,表面,,The surface of the lake was calm.,10,,,,,,
surgeon,外科医,,The surgeon performed the operation.,10,,,,,,
surprisingly,驚いたことに,surprise から,"Surprisingly, he agreed.",10,,,,,,
surround,取り囲む,,Trees surround the house.,10,,,,,,
surrounding,周囲の,surround から,We explored the surrounding area.,10,,,,,,
survival,生き残ること,survive（生き残る）から,Water is vital for survival.,10,,,,,,
survivor,生き残った人,survive から,The survivor told his story.,10,,,,,,
suspect,疑う、容疑者,意味が2つある,I suspect he knows the answer.,10,,,,,,
suspicion,疑い,suspect から,She had a suspicion about him.,10,,,,,,
swarm,（虫などの）群れ,,A swarm of bees flew past.,10,,,,,,
swear,誓う、ののしる,意味が2つある,I swear I told the truth.,10,,,,,,
sweatshirt,トレーナー,sweat ＋ shirt,He wore a grey sweatshirt.,10,,,,,,
swell,ふくらむ、はれる,,My ankle began to swell.,10,,,,,,
swimmer,泳ぐ人,swim から,She is a strong swimmer.,10,,,,,,
switch,スイッチ、切りかえる,意味が2つある,Switch off the light.,10,,,,,,
swollen,はれた、ふくらんだ,swell の形が変わったもの,His eye was swollen.,10,,,,,,
sword,剣,w を読まない,The knight drew his sword.,10,,,,,,
syndrome,症候群,,The doctor explained the syndrome.,10,,,,,,
