問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
big,大きい,反対は small です,That is a big dog.,10,,,,
small,小さい,反対は big です,I have a small bag.,10,,,,
long,長い,反対は short です,She has long hair.,10,,,,
short,短い,背が低いという意味もあります,This pencil is too short.,10,,,,
new,新しい,反対は old です,I bought a new bike.,10,,,,
old,古い・年をとった,人にも物にも使います,This is an old temple.,10,,,,
good,よい,比較級は better です,That is a good idea.,10,,,,
bad,悪い,比較級は worse です,The weather is bad today.,10,,,,
happy,幸せな・うれしい,反対は sad です,I am very happy today.,10,,,,
sad,悲しい,反対は happy です,She looks sad.,10,,,,
easy,かんたんな,反対は difficult です,This question is easy.,10,,,,
difficult,むずかしい,hard も同じ意味で使えます,Math is difficult for me.,10,,,,
fast,速い,速さについて使います,He is a fast runner.,10,,,,
slow,おそい,速さについて使います。反対は fast です,This train is very slow.,10,,,,
hot,暑い・熱い,天気にも食べ物にも使います,It is hot today.,10,,,,
cold,寒い・冷たい,反対は hot です,The water is very cold.,10,,,,
kind,親切な,「種類」という意味もあります,She is kind to everyone.,10,,,,
busy,いそがしい,I am busy now. のように使います,My father is busy today.,10,,,,
hungry,おなかがすいた,I am hungry. の形で使います,We are very hungry.,10,,,,
tired,つかれた,I am tired. の形で使います,I am tired after school.,10,,,,
