光合成,植物が光を使って養分をつくるはたらき,二酸化炭素と水からデンプンと酸素をつくります。,葉の細胞にある葉緑体で行われます。,12,こうごうせい
蒸散,植物の体から水が水蒸気として出ていく現象,主に葉の裏の気孔から出ていきます。,蒸散がさかんだと根から水を吸い上げる力が強まります。,12,じょうさん
状態変化,温度によって固体・液体・気体と姿が変わること,体積は変わりますが、質量は変わりません。,水が氷になると体積が増えます。,12,じょうたいへんか
密度,1立方センチメートルあたりの質量,密度は質量を体積で割って求めます。,水より密度が小さい物質は水に浮きます。,12,みつど
電流,電気の流れの大きさ,単位はアンペア。直列回路ではどこでも同じ大きさです。,電流を測るときは電流計を直列につなぎます。,12,でんりゅう
電圧,電流を流そうとするはたらきの大きさ,単位はボルト。並列回路では各部分に同じ電圧がかかります。,電圧を測るときは電圧計を並列につなぎます。,12,でんあつ
オームの法則,電圧は電流と抵抗をかけた値に等しいという法則,抵抗が大きいほど電流は流れにくくなります。,同じ電圧なら抵抗が2倍で電流は半分になります。,15,おーむのほうそく
食物連鎖,生物どうしの食べる食べられるのつながり,植物を出発点として草食動物、肉食動物へと続きます。,数量の関係はふつうピラミッド型になります。,12,しょくもつれんさ
前線,性質の違う空気のかたまりが接する境目,寒冷前線が通ると気温が下がり、風向きが変わります。,温暖前線が近づくと広い範囲でおだやかな雨が降ります。,12,ぜんせん
飽和水蒸気量,空気1立方メートルが含むことのできる水蒸気の最大量,気温が高いほど大きくなります。,これを超えた分が水滴になり、雲や霧ができます。,15,ほうわすいじょうきりょう
