問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
programming,プログラミング,program（組む）＋ ing,We study programming at school.,10,,,,,,
command,命令、指示する,,Enter the command here.,10,,,,,,
loop,繰り返し、輪,,Use a loop to repeat it.,10,,,,,,
condition branch,条件分岐,2語で1つの意味,Add a condition branch.,10,,,,,,
input,入力、入力する,output の対,Check the input value.,10,,,,,,
output,出力、出力する,input の対,The output was wrong.,10,,,,,,
bug,不具合、虫,意味が2つある,I found a bug in the program.,10,,,,,,
debug,不具合を直す,de（除く）＋ bug,It took an hour to debug.,10,,,,,,
flowchart,流れ図,flow（流れ）＋ chart（図）,Draw a flowchart first.,10,,,,,,
sensor input,センサーからの入力,2語で1つの意味,The sensor input triggers the light.,10,,,,,,
gear,歯車、装備,意味が2つある,The gear turns the wheel.,10,,,,,,
lever,てこ、レバー,,A lever makes lifting easier.,10,,,,,,
pulley,滑車,,The pulley lifts heavy loads.,10,,,,,,
screw,ねじ,,Tighten the screw.,10,,,,,,
bolt,ボルト、かんぬき,,Use a bolt and a nut.,10,,,,,,
welding,溶接,weld（溶接する）＋ ing,Welding joins two metals.,10,,,,,,
circuit diagram,回路図,2語で1つの意味,Read the circuit diagram.,10,,,,,,
battery life,電池の持ち,2語で1つの意味,The battery life is short.,10,,,,,,
safety goggles,保護めがね,2語で1つの意味,Wear safety goggles.,10,,,,,,
workbench,作業台,work（作業）＋ bench（台）,Clear the workbench.,10,,,,,,
