問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
1の都道府県名と県庁所在地名,北海道>札幌市,広大な土地と豊かな自然に恵まれ、農業や酪農、水産業が非常に盛んです。新鮮な海鮮や雄大な景色を求めて、国内外から多くの観光客が訪れます。,,,,,,,,map-hokkaido-tohoku.png
2の都道府県名と県庁所在地名,青森県>青森市,本州最北端に位置し、日本一の生産量を誇るりんごの産地として有名です。夏の風物詩である「ねぶた祭」は熱気にあふれ、多くの見物客を魅了します。,,,,,,,,map-hokkaido-tohoku.png
3の都道府県名と県庁所在地名,岩手県>盛岡市,北海道に次ぐ広大な面積を持ち、リアス海岸や豊かな山々に囲まれています。わんこそばなどの独自の食文化や、中尊寺金色堂などの歴史遺産が魅力です。,,,,,,,,map-hokkaido-tohoku.png
4の都道府県名と県庁所在地名,宮城県>仙台市,東北地方の経済や文化の中心地である仙台市を擁し、活気にあふれています。日本三景の一つである松島や、牛タンなどのグルメが全国的に知られています。,,,,,,,,map-hokkaido-tohoku.png
5の都道府県名と県庁所在地名,秋田県>秋田市,美しい自然と豊かな水に恵まれ、あきたこまちをはじめとする米作りが盛んです。なまはげや竿燈まつりなど、独特の伝統行事や文化が大切に受け継がれています。,,,,,,,,map-hokkaido-tohoku.png
6の都道府県名と県庁所在地名,山形県>山形市,県の大部分を山地が占め、さくらんぼやラ・フランスなどの果物栽培が盛んです。蔵王の樹氷や銀山温泉など、四季折々の美しい景色と名湯が楽しめます。,,,,,,,,map-hokkaido-tohoku.png
7の都道府県名と県庁所在地名,福島県>福島市,浜通り、中通り、会津の3地域でそれぞれ異なる気候と多様な文化を持っています。桃などの果物栽培が盛んで、鶴ヶ城などの歴史的な舞台としても知られています。,,,,,,,,map-hokkaido-tohoku.png
8の都道府県名と県庁所在地名,茨城県>水戸市,首都圏に位置しながら農業が非常に盛んで、メロンや納豆などが特産品です。筑波山の豊かな自然や、最先端の研究機関が集まるつくば市など多様な顔を持ちます。,,,,,,,,map-kanto.png
9の都道府県名と県庁所在地名,栃木県>宇都宮市,日光東照宮をはじめとする歴史的建造物があり、観光地として非常に人気です。いちごの生産量が日本一であり、宇都宮の餃子も全国的な知名度を誇ります。,,,,,,,,map-kanto.png
10の都道府県名と県庁所在地名,群馬県>前橋市,草津や伊香保など、日本有数の名湯が数多く点在する関東屈指の温泉大国です。こんにゃくやキャベツの生産が盛んで、富岡製糸場などの世界遺産も有しています。,,,,,,,,map-kanto.png
11の都道府県名と県庁所在地名,埼玉県>さいたま市,首都圏のベッドタウンとして交通の便が良く、日本トップクラスの人口を誇ります。快晴日数が多く、多彩な農産物の生産やアニメの舞台としても親しまれています。,,,,,,,,map-kanto.png
12の都道府県名と県庁所在地名,千葉県>千葉市,三方を海に囲まれた温暖な気候で、成田国際空港や大型テーマパークを擁します。農業や水産業も盛んで、特に落花生や醤油の生産地として全国的に有名です。,,,,,,,,map-kanto.png
13の都道府県名と県庁所在地名,東京都>新宿区,日本の首都であり、政治・経済・文化のすべてが集積する世界的な大都市です。高層ビル群が立ち並ぶ一方で、下町の風情や多摩地域・島嶼部の自然も併せ持ちます。,,,,,,,,map-kanto.png
